,,,,,,
,,,,,,
BLA VENDORS LIST,,,,,,
,,,,,LAST UPDATED:,12/20/2019
DWP City of LA (Water) 6901 Tujunga Ave,"Account#: 956-118-7372
SA#: 9561187366
Meter #: 90381985","PO Box 30808, LA 90030",(800) 499-8840,,,
DWP City of LA (Water) 6945 Tujunga Ave,"Account#: 2126414873
Meter#: 90601656
SA#: 2127328316",,(800) 499-8840,,,
EASYKEYS (Key replacement),Keys by mail,Website only,(877) 839-5397,,,www.easykeys.com
ELECTRICAL (Sunwest Electric),Nadal Habash,3064 E. Miraloma Ave. Anaheim 92806,(714) 630-1886,(714) 264-5076,,nhabash@sunwestelect.com
ELEVATOR SERVICE (KONE),Betty Montanez,"1821 Tyburn Street, Glendale 91204",(714) 890-7080,"Personal: (818) 482-0467
Service Center: (877) 276-8691",(714) 893-1848,betty.montanez@kone.com
E-MERGE TROUBLESHOOTING,,"311 N. Crescent Way, Anaheim, 92801",(888) 947-6832,,(626) 814-0838,
ENVIRONMENTAL SERVICES,Jim Cummings,"2386 First Street, La Verne 91750",(800) 990-9278,,,www.isotechpest.com ar@isotechpest.com
GAS (So.Ca.Gas Co),Account #196 750 7208 6,,(800) 427-2000,,,socalgas.com
GATE (CARTER FENCE),"Vic Farrar
Jon Farrar",,(818) 983-1515,(661) 857-2002,(818) 642-7322,"carterfence.com
vic@carterfence.com"
GLASS WINDOW (Replacement),Mark,"25050 Kearny #106A, Valencia, 91355",(661) 295-8100,,,sasea77@yahoo.com
GRAINGER,Erin Fox,"Burbank, CA",(800) 472-4643,,(888) 555-0124,erin.fox.@Grainger.com
GRAINGER,,,,,,www.Grainger.com
HEALTHLINE MEDICAL GROUP,"7 am to 11 pm (M-F)
9 am to 6 pm (S & S)","15211 Vanowen St., Ste 105, VN 91405",(818) 997-7711,,,www.healthlinemedgroup.com
HUMANSCALE,Kevin Tamashiro,,(213) 439-9050,(714) 222-3149,,ktamashiro@humanscale.com
ISOTECH PEST CONTRL,Rogelio Ramirez (Tech),"311 N. Crescent Way, Anaheim, 92801",(888) 947-6832,,(626) 214-0838,www.isotechpest.com ar@isotechpest.com
JANITORIAL ABBOT,Linda Gregory,11604 Hart St. N.H. CA 91605,(818) 982-2707,,(818) 982-1192,abbotindustrial@sbcglobal.net
JAN-PRO Cleaning Systems (Night Janitorial),"Maria Gomez
Deysi & Miguel","3540 Wilshire Blvd. Ste 807, LA, 90010",(213) 355-1212,"(213)570-1186
(213)355-1212",(213) 382-3938,"maria.gomez@jan-pro.com
www.jan-pro.com"
LANDSCAPING,Carlos Herrera,,(818) 922-5297,,,
"PLUMBING SERVICES (Andersen Commercial Plumbing, Inc.)",Johnny Pickard,"190 E. Arrow Hwy. St. H, San Dimas 91773",(909) 599-5950,,,"www.andersenplumbing.com
johnny@andersenplumbing.com"
RAYMOND HANDLING SOLUTIONS (Forklifts),,"10261 Matern Pl., Santa Fe Springs 90670",(562) 944-8067,,(562) 903-0819,
"RESPOND SYSTEMS (First Aid Kits, Replenish/supplies)",Mark McDevitt,"599 4th St., San Fernando, 91340",(800) 480-5855,,(818) 838-2000,www.socalifirstaid.com
REYCLING IRON AND METALS (KRAMAR) (KIMCO),Mitch or Melanie,"Sun Valley, CA",(818) 767-4303,,,
SCALE SERVICE (Weights & Measures) Southbay ,,"P.O BOX 1223, Lawndale 90260",(310) 706-8206,,,"Service, calibration and certification"
SCMH (Service and training),,"12393 Slauson Ave. Whittier, 90606",(562) 654-6327,,,
SECURITY GUARD (Golden West K9),Gary Jeffrey Sr.,12502 Van Nuys Blvd.,(818) 897-5965,(818) 634-5117,,garyj@goldenwestsecurityinc.com
SWISS PROPERTY (Parking Lot Sweeping),,"10024 Balboa Blvd.#778, Granada Hills, 91344",(818) 217-0606,,,joe@swisspropertymaintenance.com www.swisspropertymaintenance.com
TRAVELERS INS.,Cathy K. Ho,"888 S. Figueroa St. Ste 360, LA. 90017",(213) 533-3694,,(213) 533-3608,"Travelers.com
cho@travelers.com"
VORTEX (Dock & Roll up doors repairs),,"16134 Leadwell St., Vnuys, 91406",(818) 786-4215,,(818) 786-5239,www.vortexdoors.com
WESTERN SECURITY,Jeremy Davis,1592 N. Batavia St. Suite 2,(866) 732-9382,Acct. No. FTR2079,,jeremyD@wav1.com
